mes,torre,infracoes,regulamento,artigo.paragrafo,art-par-inc
6 junho,7 - NOVA IORQUE,utilizacao de mais vagas que permitido,garagem,3.4,"As vagas duplas tipo ""gaveta"" deverão ser utilizadas por até 2 (dois) veículos da mesma unidade condominial dentro de seus limites demarcados, nos termos do caput, sejam motocicletas ou carros, sendo vedada a utilização destas por proprietários de unidades que tem direito à apenas uma vaga."
6 junho,8 - LOS ANGELES,Estacionar em vaga de visitante,garagem,3.2,"As vagas de visitantes não poderão ser usadas pelos condôminos como vaga adcional sob pena de multa e só podem ser usadas pelos visitantes após cadastro na portaria, devendo o veiculo manter a identificação visísel. O tempo do cadastro terá validade de sete dias, caso o visitante permaneça no condomínio por um tempo maior, deverá recadastrar o veículo na portaria"
6 junho,5 - MAR DEL PLATA,estacionar veiculo em vaga simples,garagem,3.5,"As 112 (cento e doze) vagas simples (unitárias) deverão ser utilizadas por um único veículo de cada uma das 112 unidades que tem direito a uma vaga, também nos termos do caput, sejam motocicletas ou carros, sendo vedada a utilização destas por proprietários de unidades que tem direito a duas vagas."
6 junho,8 - LOS ANGELES,Estacionar em vaga de visitante,garagem,3.2,"As vagas de visitantes não poderão ser usadas pelos condôminos como vaga adcional sob pena de multa e só podem ser usadas pelos visitantes após cadastro na portaria, devendo o veiculo manter a identificação visísel. O tempo do cadastro terá validade de sete dias, caso o visitante permaneça no condomínio por um tempo maior, deverá recadastrar o veículo na portaria"
6 junho,2 - CANNES,uso indevido das áreas comuns,Geral VI - Partes Comuns,47.0,"É dever de todos os condôminos utilizar as áreas e instalações comuns , unicamente para os fins a que se destinam, observando os cuidados necessários à sua conservação e manutenção, evitando, de modo especial, riscar ou sujar a pintura das paredes e portas. Os infratores deste artigo estão sujeitos à multa, além do reparo ao que for danificado."
6 junho,5 - MAR DEL PLATA,não recolheu dejetos,Geral IV - Animais Domésticos,38.0,"Os condôminos que mantiverem animais serão responsáveis pela reparação de estragos causados pelos mesmos, bem como pela imediata remoção de excrementos sob pena de multa progressiva"
6 junho,8 - LOS ANGELES,uso indevido das áreas comuns,Geral VI - Partes Comuns,47.0,"É dever de todos os condôminos utilizar as áreas e instalações comuns , unicamente para os fins a que se destinam, observando os cuidados necessários à sua conservação e manutenção, evitando, de modo especial, riscar ou sujar a pintura das paredes e portas. Os infratores deste artigo estão sujeitos à multa, além do reparo ao que for danificado."
6 junho,5 - MAR DEL PLATA,uso indevido das áreas comuns,Geral VI - Partes Comuns,47.0,"É dever de todos os condôminos utilizar as áreas e instalações comuns , unicamente para os fins a que se destinam, observando os cuidados necessários à sua conservação e manutenção, evitando, de modo especial, riscar ou sujar a pintura das paredes e portas. Os infratores deste artigo estão sujeitos à multa, além do reparo ao que for danificado."
6 junho,8 - LOS ANGELES,uso indevido das áreas comuns,Geral VI - Partes Comuns,47.0,"É dever de todos os condôminos utilizar as áreas e instalações comuns , unicamente para os fins a que se destinam, observando os cuidados necessários à sua conservação e manutenção, evitando, de modo especial, riscar ou sujar a pintura das paredes e portas. Os infratores deste artigo estão sujeitos à multa, além do reparo ao que for danificado."
6 junho,2 - CANNES,Varal na sacada,Geral III - Unidades Autonomas,18.2,"Não será permitido estender roupas, tapetes e peças em geral, nas sacadas ou outros locais visíveis do exterior das unidades"
